restaurant_name,menu_name,cloudinary_url
Amatissimo Caffe Summakorn (Amatissimo Caffe),Carrot Fig Cake & Cream Cheese Frosting,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Eggs & Toast Bacon,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Eggs & Toast Prosciutto Cotto,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Eggs & Toast,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Gateau Noir Pandan & Coconut,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Ham & Cheese Croissant,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Lemon & Brittany Cream Cheese,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Olive Oil Lemon & Almond Cake,
Amatissimo Caffe Summakorn (Amatissimo Caffe),Strawberry & Brittany Cream Cheese,
Baimiang (ใบเมี่ยง) (ใบเมี่ยง),Chocolate & Mint Sandwich Cookies,
Baimiang (ใบเมี่ยง) (ใบเมี่ยง),Crispy Brownies Strawberry & Cashew,
Baimiang (ใบเมี่ยง) (ใบเมี่ยง),Matcha & Sprouted Sesame Cookies,
Chu Chocolate Bar & Cafe (ชู ชอค์โกแลตบาร์ แอนด์ คาเฟ่),Biscuit Sandwich,
Chu Chocolate Bar & Cafe (ชู ชอค์โกแลตบาร์ แอนด์ คาเฟ่),Fresh berries pancakes,
Cold Stone Creamery (โคลด์ สโตน ครีมเมอรี่),Cookies & Cream,
H CAFE & TEA (H CAFE & TEA),Americano อเมริกาโน่,
H CAFE & TEA (H CAFE & TEA),Apple Smoothie สมูทตี้ แอปเปิ้ล,
H CAFE & TEA (H CAFE & TEA),Apple Soda,
H CAFE & TEA (H CAFE & TEA),Blue Lemon Soda,
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Cocoa Milk,
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Coconut Thai Tea.,
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Honey Lemon,
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Lychee Soda,
H CAFE & TEA (H CAFE & TEA),Caramel Almond Donut,
H CAFE & TEA (H CAFE & TEA),Coconut Latte Shake ลาเต้มะพร้าวปั่น,
H CAFE & TEA (H CAFE & TEA),Custard Creme Brulee Donut,
H CAFE & TEA (H CAFE & TEA),Custard Pudding พุดดิ้งคัสตาร์ด,
H CAFE & TEA (H CAFE & TEA),Donuts,
H CAFE & TEA (H CAFE & TEA),Fresh Avocado Honey,
H CAFE & TEA (H CAFE & TEA),Hot Cappuccino,
H CAFE & TEA (H CAFE & TEA),Hot Caramel Macchiato,
H CAFE & TEA (H CAFE & TEA),Hot Latte,
H CAFE & TEA (H CAFE & TEA),Iced Cappuccino คาปูชิโน่ เย็น,
H CAFE & TEA (H CAFE & TEA),Iced Caramel Macchiato,
H CAFE & TEA (H CAFE & TEA),Iced Cocoa โกโก้เย็น,
H CAFE & TEA (H CAFE & TEA),Iced Espresso เอสเปรสโซ่เย็น,
H CAFE & TEA (H CAFE & TEA),Iced Latte ลาเต้เย็น,
H CAFE & TEA (H CAFE & TEA),IcedMocha มอคค่าเย็น,
H CAFE & TEA (H CAFE & TEA),Lemon Curd Donut,
H CAFE & TEA (H CAFE & TEA),Lemon Tea ชามะนาว,
H CAFE & TEA (H CAFE & TEA),Mango Smoothie สมูทตี้ ส้มมะม่วง,
H CAFE & TEA (H CAFE & TEA),Matcha Custard Cream Brulee Donut,
H CAFE & TEA (H CAFE & TEA),Matcha Latte,
H CAFE & TEA (H CAFE & TEA),Matcha Pudding พุดดิ้งมัทฉะ,
H CAFE & TEA (H CAFE & TEA),Smoothie Blueberry Banana,
H CAFE & TEA (H CAFE & TEA),Smoothie Mixed Berry Yogurt,
H CAFE & TEA (H CAFE & TEA),Taiwan Milk Tea With Brown Sugar Pearls,
H CAFE & TEA (H CAFE & TEA),Thai Tea ชาไทย,
H CAFE & TEA (H CAFE & TEA),เอสเปรสโซน้ำมะพร้าว,
Oishi Kitchen (โออิชิ คิทเช่น),ซูชิ & เอบิโกะ เบนโตะ,
PACAMARA (พาคามาร่า),Chicken & Fresh Mozzarella with Rosemary Focaccia,
PACAMARA (พาคามาร่า),Chicken Ham Cheese & Stuffing with Cranberry Sourdough,
PACAMARA (พาคามาร่า),Cookies&Cream Espresso Frappe,
PACAMARA (พาคามาร่า),Cookies&Cream Frappe,
PACAMARA (พาคามาร่า),Ham & Cheddar Cheese with English Muffin,
PACAMARA (พาคามาร่า),Smoked Ham & Cheddar Cheese with Croissant,
PACAMARA (พาคามาร่า),Tuna & Cheddar Cheese Panini Sandwich,
Pan Bagels (แพน เบเกิลส์),Bacon & Egg Crispy Sandwich,
Pan Bagels (แพน เบเกิลส์),Bacon & Egg Sandwich Toast,
Pan Bagels (แพน เบเกิลส์),Bagel & Cream Cheese,
Pan Bagels (แพน เบเกิลส์),"Classic Ham, Egg & Cheese Bagel",
Pan Bagels (แพน เบเกิลส์),Ham & Egg Crispy Sandwich,
Pan Bagels (แพน เบเกิลส์),Ham & Egg Sandwich Toast,
Pan Bagels (แพน เบเกิลส์),Latte & Bagel,
Pan Bagels (แพน เบเกิลส์),Smoked Chicken & Avocado Crispy Sandwich,
Pan Bagels (แพน เบเกิลส์),Smoked Salmon & Avocado Crispy Sandwich,
Peak Chocolate Passionist,ฮาเซลนัท & อัลมอนด์,
Pizza Hut (พิซซ่าฮัท),พิซซ่า ซีฟู้ด & ฮอกไกโด ชีส,
Pizza Hut (พิซซ่าฮัท),พิซซ่า นิวออร์ลีนส์ & ซอสเซจ,
Pizza Hut (พิซซ่าฮัท),พิซซ่า แฮม & ชีส,
Pizza Hut (พิซซ่าฮัท),พิซซ่าซีฟู้ด & ฮอกไกโด ชีส,
Pizza Hut (พิซซ่าฮัท),พิซซ่านิวออร์ลีนส์ & ซอสเซจ,
Pizza Hut (พิซซ่าฮัท),พิซซ่าเบคอน & ฮอกไกโด ชีส,
Pizza Hut (พิซซ่าฮัท),พิซซ่าแฮม & ชีส,
Starbucks (สตาร์บัคส์),Caramel Macchiato Popcorn & Pretzel,
Starbucks (สตาร์บัคส์),Chicken & Crispy Bacon Caesar Wrap,
Starbucks (สตาร์บัคส์),Fresh Mozzarella Tomato & Pesto,
Starbucks (สตาร์บัคส์),Iced Matcha & Espresso Fusion,
Starbucks (สตาร์บัคส์),Matcha & Espresso Fusion,
Starbucks (สตาร์บัคส์),Spring Onion & Cream Cheese Bagel,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),Virgin Mojito,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),กระเจี๊ยบย่าง,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),กิมจิ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),กุ้งแม่น้ำเผา,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ข้าวผัดกระเทียม,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ชาข้าวคั่ว,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ชาเขียว,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ซาโมซ่า ไส้กล้วย,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ต้นหอมญี่ปุ่นย่าง,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ถั่วแระญี่ปุ่น,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),น้ำมะลิ ใบเตย,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),บลูฮาวาย โซดา,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),บะหมี่หยก,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ปลาหมึกย่าง,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ปอเปี๊ยะทอด,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ปีกไก่ทอด,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),มินิ คอกเทล ไส้กรอกไก่ ทอด,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ยากิโทริ (ไก่),
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ยำทะเล,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ยำแซลมอน ฟู,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ยําแซลมอน,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ลาบหมู,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ลาบหมูทอด,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ลาบเนื้อ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ลาบแซลมอน,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ลิ้นจี่ โซดา,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),สตอเบอรี่ โซดา,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),สลัดผัก สไตล์ญี่ปุ่น,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),สลัดมันฝรั่ง,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ส้มตํา ปูปลาร้า,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),หมูทอด,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),หมูย่างฮิเดะ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),หมูสามชั้นทอด,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เฉาก๊วย,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เต้าหู้ญี่ปุ่น,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เต้าหู้เย็นสไตล์ญี่ปุ่น,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เนื้อย่าง ข้าวคั่ว,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เนื้อย่าง ซีอิ้วญี่ปุ่น,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เนื้อย่าง เกลือ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เบคอนพันเห็ดเข็มทองย่าง,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เบคอนพันเห็ดไส้กรอก,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เฟรนช์ฟรายส์,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เมล่อน โซดา,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เหล้าบ๊วย,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เหล้าบ๊วยผสมโซดา,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เห็ดหอมย่าง,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เห็ดออรินจิย่าง,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เอส สีเขียว,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เอส ส้ม,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),เอส โคล่า,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),แซลมอนซาชิมิ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),แซลมอนดองซีอิ๊ว,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไก่ทอด เกลือ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไข่หวาน ญี่ปุ่น,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมกะทิรวมมิตร,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมคอตตอนแคนดี้,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมช็อกบอมบ์,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมช็อคโกแลตมาเนีย,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมซิมพลีวานิลลา,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมบับเบิ้ลที,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมมัทฉะกรีนที,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมวานิลลาครีมชิพ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมสตรอเบอร์รี่สเวิร์ล,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมฮอกไกโดมิลล์แอนด์ชิพ,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),ไอศกรีมเชอร์เบทมะนาว,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,3 Brothers,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Almond Croissant,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Cha Dum Yen,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Chicago Cheesecake,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Choco Dump!,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Chocolate Bun,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Cocoa Latte Frappe,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Cold Brew Coconut,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Cold Brew Orange,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Cream Cheese Garlic Bread,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Es-Yen,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Espresso Shot,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Black,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Cappuccino,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Clear Cocoa,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Clear Matcha,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Cocoa Latte,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Matcha Latte,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Mocha,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot Salted Caramel,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Hot White,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Black,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Cappuccino,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Clear Cocoa,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Clear Matcha,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Cocoa Latte,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Matcha Latte,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Mocha,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced Salted Caramel,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Iced White,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,Lemon Thai Tea,
